ParticipantID,PracticeGambleNumber,GambleChoice,ResponseTimeGamble,GambleSecondaryChoices,GambleSecondaryChoicesTimes,GamblePresetDeadline,MissedDeadline,FullScreenExited,ReproducedTime,SubjectiveDifficulty,ResponseTimeSubjectiveDifficulty,ResponseTimeSubmitAnswersQuestionnaire
1,1,Left,4.775300000011921,,,6,0,0,4450.299999982119,3,7.746299999982119,10.64840000000596
1,2,Left,3.02409999999404,,,8,0,0,7986.0,2,4.60490000000596,6.59859999999404
1,3,Left,3.923699999988079,,,10,0,0,7620.099999994039,3,6.702,9.06879999998212
1,4,Left,5.45,,,8,0,0,4838.4000000059605,3,1.8442999999821184,4.14359999999404
1,5,Left,3.152799999982119,,,6,0,0,4683.59999999404,3,2.5957999999821184,4.714899999976158
1,6,Left,4.267200000017882,,,10,0,0,5552.4000000059605,3,1.5865999999940394,3.3191999999880792
2,1,Left,5.650899999976158,,,6,0,0,2448.5,2,3.9944000000357622,4.8955
2,2,Right,4.218099999964237,,,8,0,0,2351.7999999523163,3,2.6770999999642373,3.277699999988079
2,3,Right,4.250399999976159,,,10,0,0,5683.199999988079,3,2.625900000035762,3.276200000047684
2,4,Left,2.901,,,8,0,0,4206.299999952316,2,2.744300000011921,3.578
2,5,Left,6.701399999976158,,,6,1,0,3556.199999988079,2,1.614800000011921,2.1985
2,6,Left,2.2835999999642373,,,10,0,0,4153.600000023842,1,1.580699999988079,2.2642999999523163
3,1,Left,2.7515,,,6,0,0,3516.7999999523163,2,4.7645999999046325,5.493899999856949
3,2,Left,2.087899999856949,,,8,0,0,582.2999999523163,3,2.3695999999046324,3.0104000000953675
3,3,Left,2.8313000001907347,,,10,0,0,4508.0,3,1.4057000000476838,1.917600000143051
3,4,Left,1.8881000001430512,,,8,0,0,4842.100000143051,1,2.0262999999523164,2.642600000143051
3,5,Left,1.9837999999523164,,,6,0,0,3571.0,2,0.9746000001430511,1.5997000000476838
3,6,Left,1.4887999999523165,,,10,0,0,4011.699999809265,1,0.9365,1.5686000001430511
4,1,Left,2.599099999999628,,,6,0,0,4499.9000000003725,3,6.405700000001118,12.76610000000149
4,2,Left,2.383699999999255,,,8,0,0,8845.800000000745,2,3.434699999999255,4.450099999999628
4,3,Left,1.8005,,,10,0,0,11250.200000001118,3,3.765,10.478200000001118
4,4,Left,2.25560000000149,,,8,0,0,5981.199999999255,2,2.3555,6.531599999999627
4,5,Left,2.176300000000745,,,6,0,0,3622.900000000373,2,1.7674000000003725,3.815300000000745
4,6,Left,1.53589999999851,,,10,0,0,6452.300000000745,2,3.7812999999988826,5.093099999999628
5,1,Left,3.607600000023842,,,6,0,0,3753.700000047684,3,5.381600000023842,6.3095
5,2,Left,2.7203000000715254,,,8,0,0,7058.899999976158,2,2.2638000000715257,3.0159000000953675
5,3,Right,2.568600000023842,,,10,0,0,8435.200000047684,4,3.493,4.053100000023842
5,4,Left,2.639899999976158,,,8,0,0,6168.5,2,2.1285,2.784700000047684
5,5,Left,3.271899999976158,,,6,0,0,4413.700000047684,2,4.773100000023842,5.694100000023842
5,6,Left,1.8793000000715256,,,10,0,0,5414.199999928474,1,1.4135,1.9498000000715257
6,1,Left,3.1637999999988824,,,6,0,0,5388.10000000149,2,5.685199999999255,10.27789999999851
6,2,Left,2.526300000000745,,,8,0,0,5700.300000000745,1,3.514599999999628,4.422400000000373
6,3,Left,2.555099999999628,,,10,0,0,6958.9000000003725,2,11.954099999999627,13.560799999998885
6,4,Left,1.4827000000011177,,,8,0,0,9274.299999998882,3,6.49039999999851,7.153
6,5,Left,3.292199999999255,,,6,0,0,3286.199999999255,1,1.6001999999992549,2.413199999999255
6,6,Left,1.8468999999985096,,,10,0,0,7158.5,1,1.6505,2.4749000000003725
7,1,Left,5.473700000047684,,,6,0,0,3537.899999976158,1,9.168,13.926800000071523
7,2,Left,11.025799999952316,,,8,1,0,5851.300000071526,3,2.2410999999046326,4.469199999928475
7,3,Left,6.673799999952316,,,10,0,0,4745.100000023842,3,5.539,8.155199999928474
7,4,Left,4.162199999928474,,,8,0,0,3870.5,4,5.153700000047683,6.172
7,5,Left,4.137700000047683,,,6,0,0,1544.5,2,2.009799999952316,2.970100000023842
7,6,Left,2.881899999976158,,,10,0,0,5560.700000047684,1,3.580399999976158,4.2585
8,1,Left,2.804600000023842,,,6,0,0,3899.100000023842,2,19.337700000047683,21.550100000023843
8,2,Left,4.2965,,,8,0,0,3019.7999999523163,2,2.5995,7.021199999928474
8,3,Right,6.244300000071526,,,10,0,0,4219.5,3,3.146399999976158,4.925699999928474
8,4,Left,3.0397999999523164,,,8,0,0,4077.5,1,3.4476999999284743,5.198299999952316
8,5,Left,3.8335,,,6,0,0,2536.0,1,1.2299000000953677,1.9969000000953676
8,6,Left,2.368799999952316,,,10,0,0,4644.399999976158,1,1.6865999999046326,2.5005
9,1,Left,2.944,,,6,0,0,3460.0,1,5.609799999952316,7.413700000047684
