group_parameter_set_ID,synthetic_par_ID,Round_ID,Gamble_ID,rt,response,repro_t,wt,diff_x,diff_p,diff_ev
0,0,0,33,2.4513823986053467,1.0,10.031803421594454,7.548617601394653,0.26,-0.34,0.018799999999999983
0,0,1,143,2.3067758083343506,-1.0,8.366494163462782,3.6932241916656494,-0.55,-0.35,-0.316
0,0,2,150,1.8257627487182617,-1.0,12.645216871566785,6.174237251281738,-0.35,-0.11,-0.1759
0,0,3,141,2.969557523727417,-1.0,12.23180367821777,3.030442476272583,-0.04,-0.54,-0.211
0,0,4,5,3.5994322299957275,1.0,20.184608873898274,6.4005677700042725,0.43,-0.02,0.06260000000000002
0,0,5,158,3.218458890914917,-1.0,12.506046929211667,6.781541109085083,-0.36,-0.13,-0.2548
0,0,6,86,1.2129822969436646,1.0,5.829735011742868,4.7870177030563354,0.57,-0.83,-0.09970000000000001
0,0,7,109,0.919768750667572,1.0,6.290803577008256,5.080231249332428,0.94,-0.06,0.0258
0,0,8,159,3.8282413482666016,1.0,22.175428826299104,6.171758651733398,-0.06,-0.51,-0.33270000000000005
0,0,9,27,1.3044618368148804,1.0,9.904071355472693,4.69553816318512,0.64,-0.29,-0.04869999999999999
0,0,10,52,6.73579216003418,1.0,22.495227533911343,3.2642078399658203,0.14,-0.53,-0.2289
0,0,11,39,1.4581687450408936,1.0,9.942682794082758,8.541831254959106,0.81,-0.35,0.354
0,0,12,1,5.150189399719238,-1.0,16.1129662334602,0.8498106002807617,0.05,-0.04,-0.0021999999999999993
0,0,13,45,2.5383498668670654,1.0,14.164739805877616,7.461650133132935,0.46,-0.44,-0.017600000000000032
0,0,14,36,1.2334599494934082,1.0,8.976750086982317,4.766540050506592,0.53,-0.34,-0.12009999999999998
0,0,15,80,1.4834463596343994,1.0,7.680215279283592,6.516553640365601,0.92,-0.76,-0.019600000000000006
0,0,16,133,2.3158793449401855,1.0,15.323308681193572,7.6841206550598145,0.33,-0.35,-0.044799999999999895
0,0,17,155,1.5346736907958984,-1.0,9.937408209234755,8.465326309204102,-0.37,-0.12,-0.2954
0,0,18,102,1.754433512687683,1.0,7.346004621782065,8.245566487312317,0.55,-0.48,-0.0658
0,0,19,15,1.4920706748962402,1.0,11.165292134229478,8.50792932510376,0.45,-0.16,-0.06459999999999999
0,0,20,29,1.9985558986663818,1.0,7.74384839934717,6.001444101333618,0.88,-0.25,-0.0011000000000000072
0,0,21,113,2.4344284534454346,1.0,11.149856959352169,3.5655715465545654,0.51,-0.96,-0.20099999999999998
0,0,22,81,1.8002676963806152,-1.0,9.007624972273756,6.199732303619385,0.01,-0.81,-0.7191
0,0,23,120,1.8618890047073364,1.0,10.667669533640568,8.138110995292664,0.27,-0.29,0.007300000000000084
