group_parameter_set_ID,synthetic_par_ID,beta0,beta1,beta2,drift
0,0,3.2007037696947944,0.5103058530994622,17.044300480794796,0.23463359823264707
0,1,3.4136024106914675,0.7414420007458618,21.960990685621606,0.1703327469458528
0,2,4.9520182268630935,0.5194813142218699,8.13121961568078,0.2328307387575716
0,3,8.71961781825244,1.1760232670247117,8.927284395867211,0.1253218793316074
0,4,7.951245960881206,0.41311435331727886,2.7187157338316332,0.27622888754904834
0,5,9.343150416182537,0.5529748233782483,36.94736517759788,0.2555099563370365
0,6,1.8759457479083157,2.1881458369452185,2.717393594358079,0.18310401746097912
0,7,4.318781700223292,1.2780243704330774,20.27802673541492,0.452703258050542
0,8,2.603632164280764,0.851880063557933,17.88200537408223,0.17537135352683259
0,9,2.968977427485603,0.4795980592819211,10.048008197041366,0.2694080919932068
0,10,5.840964479988027,0.5181036094088616,3.833559706127888,0.29706459061781804
0,11,2.950745217472605,1.1884506779363204,17.813862358023297,0.23925008347485427
0,12,6.045594593040921,0.6950374388394865,9.722306537656134,0.20095266537760764
0,13,3.538652151287566,0.7122196257284745,27.402356279633448,0.1890461367631348
0,14,4.350524240271646,1.236782240004539,9.466589116710498,0.2035420796957141
0,15,3.443990391409776,0.33526272252613726,3.058312946433573,0.1078686371127435
0,16,3.692933606819846,0.4474111752031889,6.428678105033768,0.2015530347585766
0,17,4.90142690293271,0.22073280446141036,13.711804709124605,0.397799045204184
0,18,5.161567455175915,0.7971412606588034,31.26656403772049,0.35550168759789114
0,19,4.531952688365294,0.1782133397442061,9.750677911800661,0.25437519548626386
0,20,7.394853325443102,0.1814898393689203,32.609292065908235,0.23173141407644837
1,0,1.8019285051430365,3.7792347866304117,6.358159390457748,0.2531374449515471
1,1,2.059403154042306,8.042968704987866,0.015279411505650297,0.14774600460653423
1,2,1.8146537787918227,9.585904838885016,0.12864263807231682,0.09750797142274127
1,3,1.8311300087229925,23.223407313231057,0.20898194304601092,0.3272038183812407
1,4,2.710028690191849,9.937069576244205,0.421161498773556,0.10199171736975163
1,5,1.8003294367312006,10.786312344925124,2.507118997836261,0.03863230189117456
1,6,1.634080757971334,10.959292611414716,11.921379270005218,0.19107295783752573
1,7,1.6562160088470197,11.811049192137926,8.886660644353086,0.38196411156286425
1,8,1.641689601359283,5.081165310525453,0.966675363864175,0.10765260611169283
1,9,1.6957724014894966,4.730988537469949,6.6375802149501855,0.09946761895365658
1,10,1.8839113421487697,19.506607690590226,2.442421997748015,0.01403847762627623
1,11,2.1645155986487516,8.014417667777103,0.06665602736930737,0.10600521915208189
1,12,1.849647844417977,16.687220330698636,0.08512722555441038,0.04299923139596685
1,13,2.4162421713504947,6.7058093403124,0.29829909624490764,0.165291851720594
1,14,1.4152177579114043,13.240364622046496,0.9011916753064905,0.11045262373471867
1,15,2.054058249212252,10.654742785866103,1.1875617334855382,0.0076719213329390044
1,16,2.8717865613483435,18.24042789258896,4.750293764440053,0.042599682249017744
1,17,1.6988281811374388,22.89968532944108,0.09356884678428887,0.1592967071235136
1,18,1.4056173917160217,3.4458956485595915,4.139803888062619,0.16892630394620187
1,19,1.681043169079227,14.114854986935876,0.7289806761192648,0.08199688854801698
1,20,1.7344364949238233,25.152072483827443,0.6449132012458758,0.15942851293225974
2,0,15.424449611130632,0.10436338009443351,0.08664023234599964,0.5613485303112261
2,1,0.3852359769971746,0.03789464894034309,0.0944606316334221,0.16260905311703755
2,2,14.668861326785018,0.09495542550158967,0.037833703766272646,0.045229684156946275
2,3,0.03556069433894624,0.07490368919844027,0.019232369583855158,0.31077125177869097
2,4,3.865433550597212,0.044944987038834164,0.015043182823490871,0.4723892466237986
2,5,43.9707376222565,0.08031805861930708,0.013430086890001644,0.578343901615954
2,6,0.059679388427336895,0.09893339059503345,0.027563397092473216,0.5901560733050515
2,7,0.2920321048520507,0.07254261905676357,0.041792737145805996,1.3172119549412276
2,8,0.10727292204060528,0.0816419368612249,0.023533527193495683,0.27374077556429544
2,9,0.41738622734603714,0.04948432138250118,0.022743637863971326,0.38982869201874876
2,10,0.0012744359657348367,0.11062757437927377,0.014160861482122426,0.3353667981209248
2,11,0.03270598682371393,0.08078986352789101,0.015042697796564619,0.42523025874498127
2,12,0.3980935970062439,0.09264870573998261,0.07705401897977553,0.18421288762922883
2,13,0.6052319533452748,0.05646555319206336,0.046086244463791025,0.12223457674481272
2,14,7.30490854129955,0.11651020265991689,0.011945314725296556,0.11937758234743981
2,15,0.0028249759791406765,0.13160667050254968,0.003649368626668113,0.264022553388174
2,16,19.73711814781681,0.06221972130248591,0.07197172602465332,0.2965442461072548
2,17,0.4957784347741802,0.06943677473953433,0.07453795016290407,1.392533578402281
2,18,0.03577576038725008,0.07455625892251698,0.04904035802263726,0.21125903104636173
2,19,0.18941901033989267,0.07313653109968708,0.019519199056422184,0.48782318735830793
2,20,0.07791225580974742,0.06879002906987906,0.017199247477252447,0.11503315690365602
3,0,17.251549353219303,0.26988080744675025,0.16432010589089882,4.2089330195171515
3,1,7.9306198017265075,0.03633947360182034,7.399877606728854,4.655035271132744
3,2,0.3216866373085386,0.011490750647403824,0.206718544163471,1.3964984816576649
3,3,0.5489439491498038,0.04671217246273131,4.372752030739342,2.6408501897797048
3,4,2.6630199308044857,0.028607022081916466,2.3192892934658866,0.686721176040404
3,5,3.7812864895014946,0.4078864971066141,0.2817695136133962,9.765940736519086
3,6,3.566123362660068,0.2705350612450392,1.5855953174459865,1.426127744240168
3,7,14.774994923511066,0.09126560093611903,1.4003463694453153,0.40034280323872085
3,8,22.517141766804983,2.9596895433366237,1.0288752053346233,0.8090803133562653
3,9,1.516008987418267,0.07595129420394453,3.8107708002667198,2.6283670504752177
3,10,14.011532043223564,0.06569436416906524,12.012346561477406,4.2984137477282385
3,11,0.4092607857131792,0.19858683837007857,0.8716100063134405,1.2478739398797116
3,12,1.7875970765446803,0.032201796836590454,8.057630630659057,5.918388307554822
3,13,0.8434939431162827,0.012630357585867008,2.294067151943775,2.4649003563813023
3,14,2.159320426749163,0.0052273098072825345,0.30219038400156994,9.019951399987542
3,15,4.68448811636332,0.00514892520471067,0.9478377184170171,9.034853444361099
3,16,0.707207302132537,0.023559141017206138,0.17177570904485023,5.917778048627088
3,17,0.8858569723734193,0.4322323394524662,6.351523637719552,1.2106181146712407
3,18,25.92759419004075,0.02650622881368386,2.8058038502016256,2.1819596681940188
3,19,3.7391846362159473,0.06420990866955635,2.1465317220249585,9.806641424059412
3,20,1.045025462389896,0.05763441827909825,0.13974147187552344,9.575081278997242
4,0,0.418425728130921,0.38808115700571194,1.049455414692558,605.3269987417881
4,1,0.395162884923981,2.9905627280076974,0.8426023260464633,4.644282872998923
4,2,0.4306276238295945,13.391314252059063,6.245656807366247,27.83665748482943
4,3,0.37945267412337946,0.96118377223731,2.601832599683266,6.687581057286612
4,4,0.42753527214301884,4.326443649913941,3.6162062797498162,3.8293108938311557
4,5,0.3933497321370637,2.5711194910228277,1.5731272676396666,81.15257895782162
4,6,0.37505450666746454,2.3078082380602893,1.2010433868362644,6.742102792949883
4,7,0.4633121683509134,0.7003885008704221,0.672490771085031,2.2876520803968154
4,8,0.38118404082892904,1.8767294228317732,1.6609080674860697,37.99239322131543
4,9,0.3942728964086572,22.166762373162083,1.5264576600513988,4.825499764329577
4,10,0.4204958991040087,20.446579755170426,4.1256793262278695,7.972002001023607
4,11,0.40290731569757593,571.8454443761112,1.9851599303765508,8.440603745615793
4,12,0.40291133035926874,1.9760505231355445,0.6598616688249821,1.1082357602474366
4,13,0.48136200303023935,0.5308014479851375,1.5239220753367013,13.50403467274644
4,14,0.3926259167476431,1.0791000482666342,1.969901709916666,142.98772466511585
4,15,0.41856356898393765,50.26425531310841,3.098047764927549,5.774078164900585
4,16,0.408364083866059,1.1168787102260427,6.265429709069446,14.413094270186244
4,17,0.39912032495501176,26.10261471158517,1.7054487985703564,6.368928537514887
4,18,0.46385126909233393,6.684652906671088,6.76618567844037,24.863576817163484
4,19,0.40065535292924215,19.05348132185908,1.1822875370762675,1.2318194142243453
4,20,0.40148547070353885,12.879317322232367,4.702894072591658,53.83114265351188
5,0,21.8098811442862,0.9488499644482371,3.615121380516957,0.11508024362108833
5,1,18.434637392497702,0.4191009230723684,4.992618021580798,0.1125068924940759
5,2,44.93025363636947,0.21201282000612048,2.8691308070821515,0.2978691522259139
5,3,31.870505655625266,0.1798677633125966,3.644463668564456,0.2513761707915706
5,4,35.438338887065804,0.5439295056820637,3.183797879043377,0.36328473483315166
5,5,15.218086258361096,0.5494195960370528,4.357884236769404,0.17266767632280963
5,6,44.60923884613826,0.716218724765883,3.0941844279436355,0.2974558377670212
5,7,44.73156057936803,0.8923182928780943,4.5788595431593,0.11020117601133261
5,8,18.679606520742105,0.48761185621335307,6.174214060599901,0.23888249808873363
5,9,16.668491404326236,0.2534907410704707,5.451037096623058,0.23503876168863327
5,10,38.689117255299365,0.7576641419908134,3.580403165841511,0.34894170651366135
5,11,27.019415449592657,0.35012747607456596,5.197026702698346,0.20011077655549508
5,12,43.0774314966697,0.1837193903715119,3.483455351978672,0.7185373711860904
5,13,18.07808320646576,1.5350927150296456,5.244371722610435,0.2907352248045998
5,14,47.12455918042079,0.0946180794783468,3.6008713734148814,0.5847867333965078
5,15,73.39465988081851,0.5722175947267537,4.674755521615924,0.3152540873561979
